name,synth,flatten,extract_fa,abc_script,area,delay,module,type1,type2,bitwidth,const_v,is_const,adder_1_area,adder_2_area,adder_1_delay,adder_2_delay
n_2_input/adder_2_low_level_2_2.v,1,0,0,7,1.72044,117.12,2,adder,low,2,2,False,0.64152,0.59778,38.66,36.24
n_2_input/adder_2_low_level_2_2.v,1,0,1,0,1.32678,127.1,2,adder,low,2,2,False,0.55404,0.55404,70.26,75.14
n_2_input/adder_2_low_level_2_2.v,1,0,1,1,1.54548,148.88,2,adder,low,2,2,False,0.55404,0.55404,70.26,70.26
n_2_input/adder_2_low_level_2_2.v,1,0,1,2,1.54548,148.99,2,adder,low,2,2,False,0.55404,0.33534,66.61,39.12
n_2_input/adder_2_low_level_2_2.v,1,0,1,3,1.3851,135.62,2,adder,low,2,2,False,0.55404,0.33534,70.26,39.12
n_2_input/adder_2_low_level_2_2.v,1,0,1,4,1.3851,130.72,2,adder,low,2,2,False,0.55404,0.33534,66.61,39.12
n_2_input/adder_2_low_level_2_2.v,1,0,1,5,1.41426,129.0,2,adder,low,2,2,False,0.55404,0.33534,66.61,39.12
n_2_input/adder_2_low_level_2_2.v,1,0,1,6,1.32678,127.1,2,adder,low,2,2,False,0.55404,0.55404,66.61,75.14
n_2_input/adder_2_low_level_2_2.v,1,0,1,7,1.54548,155.05,2,adder,low,2,2,False,0.55404,0.33534,70.26,41.99
n_2_input/adder_2_low_level_2_2.v,1,1,0,0,0.45198,39.13,2,adder,low,2,2,False,0.64152,0.59778,38.66,36.24
n_2_input/adder_2_low_level_2_2.v,1,1,0,1,0.49572,35.74,2,adder,low,2,2,False,0.64152,0.64152,38.66,38.66
n_2_input/adder_2_low_level_2_2.v,1,1,0,2,0.45198,39.13,2,adder,low,2,2,False,0.64152,0.59778,38.66,36.24
n_2_input/adder_2_low_level_2_2.v,1,1,0,3,0.61236,39.99,2,adder,low,2,2,False,0.64152,0.61236,38.66,35.4
n_2_input/adder_2_low_level_2_2.v,1,1,0,4,0.61236,39.99,2,adder,low,2,2,False,0.64152,0.64152,38.66,38.66
n_2_input/adder_2_low_level_2_2.v,1,1,0,5,0.69984,51.78,2,adder,low,2,2,False,0.729,0.729,55.27,55.27
n_2_input/adder_2_low_level_2_2.v,1,1,0,6,0.45198,39.13,2,adder,low,2,2,False,0.64152,0.59778,38.66,36.24
n_2_input/adder_2_low_level_2_2.v,1,1,0,7,0.45198,39.13,2,adder,low,2,2,False,0.64152,0.59778,38.66,36.24
n_2_input/adder_2_low_level_2_2.v,1,1,1,0,0.99144,162.49,2,adder,low,2,2,False,0.55404,0.33534,70.26,37.1
n_2_input/adder_2_low_level_2_2.v,1,1,1,1,0.99144,162.49,2,adder,low,2,2,False,0.55404,0.55404,66.61,75.14
n_2_input/adder_2_low_level_2_2.v,1,1,1,2,0.56862,86.85,2,adder,low,2,2,False,0.55404,0.33534,66.61,39.12
n_2_input/adder_2_low_level_2_2.v,1,1,1,3,0.99144,154.97,2,adder,low,2,2,False,0.55404,0.33534,70.26,39.12
n_2_input/adder_2_low_level_2_2.v,1,1,1,4,0.56862,81.98,2,adder,low,2,2,False,0.55404,0.55404,70.26,70.26
n_2_input/adder_2_low_level_2_2.v,1,1,1,5,0.56862,78.32,2,adder,low,2,2,False,0.55404,0.33534,75.14,41.99
n_2_input/adder_2_low_level_2_2.v,1,1,1,6,0.99144,149.5,2,adder,low,2,2,False,0.55404,0.55404,66.61,75.14
n_2_input/adder_2_low_level_2_2.v,1,1,1,7,0.56862,78.32,2,adder,low,2,2,False,0.55404,0.55404,70.26,70.26
n_2_input/low_level_2_adder_2_2.v,0,0,0,0,1.6767,107.14,2,low,adder,2,2,False,0.59778,0.59778,36.24,36.24
n_2_input/low_level_2_adder_2_2.v,0,0,0,1,1.6767,107.14,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,0,0,0,2,1.72044,116.3,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,0,0,0,3,1.77876,110.97,2,low,adder,2,2,False,0.61236,0.64152,35.37,39.39
n_2_input/low_level_2_adder_2_2.v,0,0,0,4,1.77876,110.97,2,low,adder,2,2,False,0.61236,0.64152,35.37,39.39
n_2_input/low_level_2_adder_2_2.v,0,0,0,5,1.9683,113.81,2,low,adder,2,2,False,0.71442,0.729,45.88,53.24
